Run ID,Dataset,Location,Frequency,Observation Window,Train Window,Locked Test Window,Selected AR Order,Selected ARIMA Order,Selected SARIMA Order,Software Versions,Seed
RUN_D1_CORE,Chicago Crimes (D1),District 001 (Central/Loop),Weekly ('W-MON'),2019-01-07 to 2024-06-24 (287 wks),2019-01-07 to 2023-12-25 (261 wks),2024-01-01 to 2024-06-24 (26 wks),AR(4),"ARIMA(1,1,1)","SARIMA(1,1,1)x(1,0,1)[52]","Python 3.12, Statsmodels 0.15.0, PyTorch 2.13.0",42
RUN_D1_LOC2,Chicago Crimes (D1),District 011 (Harrison),Weekly ('W-MON'),2019-01-07 to 2024-06-24 (287 wks),2019-01-07 to 2023-12-25 (261 wks),2024-01-01 to 2024-06-24 (26 wks),AR(2),"ARIMA(2,1,1)","SARIMA(1,1,1)x(1,0,1)[52]","Python 3.12, Statsmodels 0.15.0, PyTorch 2.13.0",42
RUN_D2_REPL,NYPD Complaints (D2),Precinct 014 (Midtown South),Weekly ('W-MON'),2019-01-07 to 2023-12-25 (261 wks),2019-01-07 to 2023-06-26 (235 wks),2023-07-03 to 2023-12-25 (26 wks),AR(3),"ARIMA(1,1,1)","SARIMA(1,1,1)x(1,0,1)[52]","Python 3.12, Statsmodels 0.15.0, PyTorch 2.13.0",42
RUN_D3_REPL,SFPD Incidents (D3),Central District,Weekly ('W-MON'),2019-01-07 to 2024-06-24 (287 wks),2019-01-07 to 2023-12-25 (261 wks),2024-01-01 to 2024-06-24 (26 wks),AR(3),"ARIMA(1,1,1)","SARIMA(1,1,1)x(1,0,1)[52]","Python 3.12, Statsmodels 0.15.0, PyTorch 2.13.0",42
