candidate_order,p,d,q,aic,bic,log_likelihood,converged,selected
"(1, 0, 0)",1,0,0,2908.52,2919.21,-1451.26,True,N
"(2, 0, 0)",2,0,0,2880.95,2895.21,-1436.47,True,N
"(1, 1, 1)",1,1,1,2827.09,2837.77,-1410.54,True,N
"(2, 1, 1)",2,1,1,2827.41,2841.65,-1409.7,True,N
"(0, 1, 1)",0,1,1,2826.19,2833.31,-1411.09,True,Y
"(1, 1, 0)",1,1,0,2898.0,2905.12,-1447.0,True,N
"(2, 1, 2)",2,1,2,2828.91,2846.71,-1409.45,True,N
"(3, 1, 1)",3,1,1,2829.35,2847.16,-1409.68,True,N
