timestamp,D1_Chicago_District_001
2019-01-07,243
2019-01-14,226
2019-01-21,214
2019-01-28,218
2019-02-04,177
2019-02-11,190
2019-02-18,253
2019-02-25,253
2019-03-04,184
2019-03-11,206
2019-03-18,245
2019-03-25,212
2019-04-01,276
2019-04-08,267
2019-04-15,250
2019-04-22,187
2019-04-29,183
2019-05-06,216
2019-05-13,236
2019-05-20,226
2019-05-27,227
2019-06-03,225
2019-06-10,300
2019-06-17,232
2019-06-24,294
2019-07-01,299
2019-07-08,219
2019-07-15,294
2019-07-22,222
2019-07-29,241
2019-08-05,551
2019-08-12,242
2019-08-19,221
2019-08-26,254
2019-09-02,239
2019-09-09,245
2019-09-16,246
2019-09-23,242
2019-09-30,253
2019-10-07,237
2019-10-14,213
2019-10-21,262
2019-10-28,209
2019-11-04,277
2019-11-11,197
2019-11-18,198
2019-11-25,258
2019-12-02,193
2019-12-09,244
2019-12-16,241
2019-12-23,187
2019-12-30,187
2020-01-06,183
2020-01-13,207
2020-01-20,144
2020-01-27,239
2020-02-03,201
2020-02-10,171
2020-02-17,205
2020-02-24,183
2020-03-02,141
2020-03-09,170
2020-03-16,174
2020-03-23,94
2020-03-30,66
2020-04-06,84
2020-04-13,87
2020-04-20,57
2020-04-27,84
2020-05-04,94
2020-05-11,72
2020-05-18,86
2020-05-25,109
2020-06-01,365
2020-06-08,83
2020-06-15,75
2020-06-22,107
2020-06-29,111
2020-07-06,159
2020-07-13,134
2020-07-20,116
2020-07-27,137
2020-08-03,131
2020-08-10,129
2020-08-17,148
2020-08-24,146
2020-08-31,129
2020-09-07,128
2020-09-14,112
2020-09-21,132
2020-09-28,121
2020-10-05,101
2020-10-12,122
2020-10-19,125
2020-10-26,106
2020-11-02,113
2020-11-09,132
2020-11-16,128
2020-11-23,96
2020-11-30,86
2020-12-07,106
2020-12-14,102
2020-12-21,119
2020-12-28,92
2021-01-04,83
2021-01-11,101
2021-01-18,114
2021-01-25,115
2021-02-01,89
2021-02-08,81
2021-02-15,81
2021-02-22,97
2021-03-01,118
2021-03-08,110
2021-03-15,82
2021-03-22,97
2021-03-29,99
2021-04-05,104
2021-04-12,104
2021-04-19,90
2021-04-26,100
2021-05-03,136
2021-05-10,104
2021-05-17,141
2021-05-24,130
2021-05-31,112
2021-06-07,168
2021-06-14,151
2021-06-21,143
2021-06-28,196
2021-07-05,157
2021-07-12,157
2021-07-19,172
2021-07-26,155
2021-08-02,509
2021-08-09,148
2021-08-16,140
2021-08-23,166
2021-08-30,175
2021-09-06,171
2021-09-13,158
2021-09-20,154
2021-09-27,137
2021-10-04,173
2021-10-11,184
2021-10-18,166
2021-10-25,179
2021-11-01,167
2021-11-08,179
2021-11-15,145
2021-11-22,194
2021-11-29,170
2021-12-06,121
2021-12-13,173
2021-12-20,191
2021-12-27,147
2022-01-03,154
2022-01-10,133
2022-01-17,193
2022-01-24,209
2022-01-31,169
2022-02-07,173
2022-02-14,163
2022-02-21,161
2022-02-28,178
2022-03-07,187
2022-03-14,202
2022-03-21,226
2022-03-28,161
2022-04-04,222
2022-04-11,175
2022-04-18,194
2022-04-25,216
2022-05-02,169
2022-05-09,206
2022-05-16,214
2022-05-23,186
2022-05-30,234
2022-06-06,230
2022-06-13,192
2022-06-20,239
2022-06-27,246
2022-07-04,245
2022-07-11,242
2022-07-18,263
2022-07-25,244
2022-08-01,658
2022-08-08,183
2022-08-15,203
2022-08-22,259
2022-08-29,218
2022-09-05,221
2022-09-12,222
2022-09-19,259
2022-09-26,200
2022-10-03,198
2022-10-10,245
2022-10-17,203
2022-10-24,209
2022-10-31,217
2022-11-07,242
2022-11-14,187
2022-11-21,239
2022-11-28,212
2022-12-05,216
2022-12-12,164
2022-12-19,233
2022-12-26,129
2023-01-02,223
2023-01-09,202
2023-01-16,200
2023-01-23,247
2023-01-30,198
2023-02-06,196
2023-02-13,195
2023-02-20,192
2023-02-27,200
2023-03-06,214
2023-03-13,202
2023-03-20,186
2023-03-27,210
2023-04-03,239
2023-04-10,189
2023-04-17,255
2023-04-24,195
2023-05-01,212
2023-05-08,236
2023-05-15,211
2023-05-22,233
2023-05-29,216
2023-06-05,277
2023-06-12,230
2023-06-19,196
2023-06-26,244
2023-07-03,221
2023-07-10,203
2023-07-17,234
2023-07-24,239
2023-07-31,222
2023-08-07,480
2023-08-14,275
2023-08-21,244
2023-08-28,215
2023-09-04,264
2023-09-11,229
2023-09-18,260
2023-09-25,245
2023-10-02,235
2023-10-09,242
2023-10-16,227
2023-10-23,212
2023-10-30,207
2023-11-06,229
2023-11-13,233
2023-11-20,247
2023-11-27,229
2023-12-04,259
2023-12-11,240
2023-12-18,248
2023-12-25,185
2024-01-01,235
2024-01-08,199
2024-01-15,173
2024-01-22,193
2024-01-29,237
2024-02-05,228
2024-02-12,181
2024-02-19,166
2024-02-26,187
2024-03-04,220
2024-03-11,236
2024-03-18,245
2024-03-25,217
2024-04-01,221
2024-04-08,193
2024-04-15,266
2024-04-22,206
2024-04-29,193
2024-05-06,228
2024-05-13,238
2024-05-20,270
2024-05-27,266
2024-06-03,277
2024-06-10,265
2024-06-17,285
2024-06-24,264
2024-07-01,172
